City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,guarapari,-20.6667,-40.4975,20.83,94,5,3.76,BR,1694912714
83,hithadhoo,-0.6,73.0833,28.01,77,0,7.09,MV,1694912930
84,starkville,33.4504,-88.8184,24.93,65,100,0.0,US,1694912876
85,ancud,-41.8697,-73.8203,6.51,84,100,8.34,CL,1694912931
86,punta arenas,-53.15,-70.9167,3.06,44,75,4.63,CL,1694912932
87,tapes,-30.6733,-51.3958,17.54,86,0,2.68,BR,1694912932
88,la sarre,48.8002,-79.1996,12.09,92,14,1.98,CA,1694912933
89,ketchikan,55.3422,-131.6461,12.26,87,100,3.82,US,1694912933
90,holualoa,19.6228,-155.9522,27.91,81,75,7.2,US,1694912849
91,rambha,19.5167,85.1,27.62,82,100,1.77,IN,1694912935
92,lesozavodsk,45.4794,133.4244,17.9,77,100,0.47,RU,1694912936
93,mount gambier,-37.8333,140.7667,17.54,58,0,3.02,AU,1694912937
94,eyl,7.9803,49.8164,25.32,69,100,7.64,SO,1694912937
95,ola,59.5833,151.2833,6.19,88,100,2.95,RU,1694912938
96,dwarka,22.2394,68.9678,27.39,82,100,6.83,IN,1694912938
97,kavaratti,10.5669,72.642,27.55,78,67,4.14,IN,1694912939
98,mo i rana,66.3128,14.1428,7.26,87,40,4.12,NO,1694912939
99,makhambet,47.6667,51.5833,16.53,57,100,2.91,KZ,1694912940
100,quellon,-43.1167,-73.6167,6.16,82,100,6.58,CL,1694912941
101,tazacorte,28.629,-17.9293,23.54,90,75,8.23,ES,1694912941
102,phang nga,8.4509,98.5298,26.02,82,86,0.51,TH,1694912942
103,khandyga,62.6667,135.6,1.59,98,100,1.42,RU,1694912943
104,afif,23.9065,42.9172,26.69,14,20,4.4,SA,1694912943
105,koubia,11.5833,-11.9,19.58,97,100,1.48,GN,1694912944
106,peniche,39.3558,-9.3811,19.05,85,0,9.12,PT,1694912944
107,talnakh,69.4865,88.3972,0.67,89,47,2.3,RU,1694912945
108,gallup,35.5281,-108.7426,22.91,27,20,4.12,US,1694912948
109,kotido,2.9806,34.1331,23.0,52,68,3.47,UG,1694912951
110,fort bragg,35.139,-79.006,23.85,61,0,2.57,US,1694912952
111,dzilam gonzalez,21.2833,-88.9333,27.45,78,1,3.58,MX,1694912959
